orispl_code,state,county,name,latitude,longitude,orispl_code,operator,primary_fuel,years
55627,CA,Solano,Goose Haven Energy Center,38.2271,-121.844,55627,"Goose Haven Energy Center, LLC",Pipeline Natural Gas,2003-2017
55645,CO,Adams,Blue Spruce Energy Center,39.7436,-104.68,55645,Public Service Company of Colorado,Pipeline Natural Gas,2003-2017
55656,CA,Kern,Pastoria Energy Facility,34.9556,-118.844,55656,"Pastoria Energy Facility, LLC",Pipeline Natural Gas,2005-2017
55662,WA,Lewis,Chehalis Generation Facility,46.6226,-122.9145,55662,Pacificorp Energy Generation,Natural Gas,2003-2017
55683,OR,Morrow,Boardman Power Holdings LLC,45.8464,-119.6536,55683,"Boardman Power Holdings LLC, Morrow Power, LLC",Pipeline Natural Gas,2002-2008
55687,NV,Clark,Walter M. Higgins III Generating Station,35.6139,-115.3561,55687,NV Energy,Pipeline Natural Gas,2003-2017
55698,CA,Kings,Hanford Energy Park Peaker,36.2689,-119.6469,55698,AltaGas San Joaquin Energy Inc.,Pipeline Natural Gas,2001-2017
55700,WA,Cowlitz,Mint Farm Generating Station,46.1403,-122.9842,55700,"Puget Sound Energy, Inc.",Natural Gas,2008-2017
55704,WA,,Pierce Power Station,0.0,0.0,55704,,,2001-2002
55733,ID,Elmore,Bennett Mountain Power Project,43.147,-115.6671,55733,Idaho Power Company,Pipeline Natural Gas,2005-2017
55748,CA,Santa Clara,Los Esteros Critical Energy Facility,37.425,-121.9319,55748,"Los Esteros Critical Energy Fac, LLC",Pipeline Natural Gas,2003-2017
55749,MT,Big Horn,Hardin Generating Station,45.7578,-107.6,55749,"Colorado Energy Management, LLC",Coal,2006-2017
55802,NM,Valencia,Valencia Power Plant,34.6063,-106.732,55802,"Valencia Power, LLC",Pipeline Natural Gas,2008-2017
55807,CA,Kings,Henrietta Peaker Plant,36.2397,-119.9044,55807,AltaGas San Joaquin Energy Inc.,Pipeline Natural Gas,2002-2017
55810,CA,Santa Clara,"Gilroy Energy Center, LLC",36.999,-121.5363,55810,"Gilroy Energy Center, LLC",Pipeline Natural Gas,2002-2017
55818,WA,Pierce,Frederickson Power LP,47.0864,-122.3644,55818,"Atlantic Power Services, LLC",Pipeline Natural Gas,2002-2017
55835,CO,Weld,Rocky Mountain Energy Center,40.0911,-104.5947,55835,Public Service Company of Colorado,Pipeline Natural Gas,2004-2017
55841,NV,Clark,Silverhawk,36.4078,-114.9603,55841,NV Energy,Pipeline Natural Gas,2004-2017
55847,CA,Sutter,Feather River Energy Center,39.1088,-121.6133,55847,Calpine Corporation,Pipeline Natural Gas,2003-2017
55853,CA,Riverside,Inland Empire Energy Center,33.7393,-117.1701,55853,"Inland Empire Energy Center, LLC",Pipeline Natural Gas,2009-2017
55855,CA,Solano,Wolfskill Energy Center,38.2282,-122.076,55855,"Gilroy Energy Center, LLC",Pipeline Natural Gas,2003-2017
55858,UT,Tooele,Desert Power Plant,40.9131,-112.7342,55858,"Desert Power, LP",Pipeline Natural Gas,2002-2007
55875,CA,Fresno,"Wellhead Power Gates, LLC",36.1522,-120.1481,55875,"Wellhead Electric Company, Inc",Pipeline Natural Gas,2002-2012
55933,CA,San Joaquin,Tracy Combined Cycle Power Plant,37.7107,-121.4906,55933,AltaGas San Joaquin Energy Inc.,Pipeline Natural Gas,2003-2017
